Period,Location,Time,Temperature,Reading (Oxygen),Reading (Hydrogen Cyanide),TWA (Hydrogen Cyanide),STEL (Hydrogen Cyanide),Reading (Nitrogen Dioxide),TWA (Nitrogen Dioxide),STEL (Nitrogen Dioxide),Reading (Hydrogen Sulfide),TWA (Hydrogen Sulfide),STEL (Hydrogen Sulfide),Reading (Carbon Monoxide),TWA (Carbon Monoxide),STEL (Carbon Monoxide),Reading (Carbon Dioxide),TWA (Carbon Dioxide),STEL (Carbon Dioxide)
1,,6/22/2015 8:57:07 AM,18,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:12 AM,18,20.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:17 AM,18,20.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:22 AM,18,20.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:27 AM,18,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:32 AM,18,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:37 AM,18,20.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:42 AM,18,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:47 AM,18,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:52 AM,18,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:57:57 AM,18,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:02 AM,18,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:07 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:12 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:17 AM,19,20.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:22 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:27 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:32 AM,19,20.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:37 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:42 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:47 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:52 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:58:57 AM,19,20.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:02 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:07 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:12 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:17 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:22 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:27 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:32 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:37 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:42 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:47 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:52 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 8:59:57 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:02 AM,19,20.7,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:07 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:12 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:17 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:22 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:27 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:32 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:37 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:42 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:47 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:52 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:00:57 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:02 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:07 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:12 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:17 AM,19,20.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:22 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:27 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:32 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:37 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:42 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:47 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:52 AM,19,20.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:01:57 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:02:02 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:02:07 AM,19,20.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:02:12 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:02:17 AM,19,20.6,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:02:22 AM,19,20.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/22/2015 9:02:27 AM,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
