Period,Location,Time,Temperature,Reading (Oxygen),Reading (Hydrogen Cyanide),TWA (Hydrogen Cyanide),STEL (Hydrogen Cyanide),Reading (Nitrogen Dioxide),TWA (Nitrogen Dioxide),STEL (Nitrogen Dioxide),Reading (Hydrogen Sulfide),TWA (Hydrogen Sulfide),STEL (Hydrogen Sulfide),Reading (Carbon Monoxide),TWA (Carbon Monoxide),STEL (Carbon Monoxide),Reading (Carbon Dioxide),TWA (Carbon Dioxide),STEL (Carbon Dioxide)
1,,6/29/2015 8:24:39 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:24:44 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
1,,6/29/2015 8:24:49 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0
1,,6/29/2015 8:24:54 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,6/29/2015 8:24:59 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,6/29/2015 8:25:04 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0
1,,6/29/2015 8:25:09 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
1,,6/29/2015 8:25:14 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
1,,6/29/2015 8:25:19 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
1,,6/29/2015 8:25:24 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
1,,6/29/2015 8:25:29 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.03,0,0
1,,6/29/2015 8:25:34 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:25:39 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:25:44 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:25:49 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:25:54 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:25:59 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:04 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:09 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:14 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:19 AM,14,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:24 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:29 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:34 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:39 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:44 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:49 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:54 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:26:59 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:04 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:09 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:14 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:19 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:24 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:29 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:34 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:39 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:44 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:49 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:54 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:27:59 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:04 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:09 AM,15,20.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:14 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:19 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:24 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:29 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:34 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:39 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:44 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:49 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:54 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:28:59 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:29:04 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
1,,6/29/2015 8:29:09 AM,15,20.1,-0.3,0,0,0,0,0,0,0,0,0,0,0,-0.05,0,0
