Period,Location,Time,Temperature,Reading (Oxygen),Reading (Hydrogen Cyanide),TWA (Hydrogen Cyanide),STEL (Hydrogen Cyanide),Reading (Nitrogen Dioxide),TWA (Nitrogen Dioxide),STEL (Nitrogen Dioxide),Reading (Hydrogen Sulfide),TWA (Hydrogen Sulfide),STEL (Hydrogen Sulfide),Reading (Carbon Monoxide),TWA (Carbon Monoxide),STEL (Carbon Monoxide),Reading (Carbon Dioxide),TWA (Carbon Dioxide),STEL (Carbon Dioxide)
1,,6/29/2015 8:25:14 AM,15,20.9,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,1.736111E-06,5.555555E-05
1,,6/29/2015 8:25:19 AM,15,20.8,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,1.736111E-06,5.555555E-05
1,,6/29/2015 8:25:24 AM,15,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,6.944444E-06,0.0002222222
1,,6/29/2015 8:25:29 AM,15,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,1.215278E-05,0.0003888889
1,,6/29/2015 8:25:34 AM,15,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,1.215278E-05,0.0003888889
1,,6/29/2015 8:25:39 AM,15,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,1.388889E-05,0.0004444444
1,,6/29/2015 8:25:44 AM,15,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,1.5625E-05,0.0005
1,,6/29/2015 8:25:49 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.04,2.256944E-05,0.0007222222
1,,6/29/2015 8:25:54 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.07,3.472222E-05,0.001111111
1,,6/29/2015 8:25:59 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.08,4.861111E-05,0.001555556
1,,6/29/2015 8:26:04 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.06,5.902778E-05,0.001888889
1,,6/29/2015 8:26:09 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,6.423611E-05,0.002055556
1,,6/29/2015 8:26:14 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,6.944445E-05,0.002222222
1,,6/29/2015 8:26:19 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.05,7.8125E-05,0.0025
1,,6/29/2015 8:26:24 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.05,8.680556E-05,0.002777778
1,,6/29/2015 8:26:29 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.04,9.375E-05,0.003
1,,6/29/2015 8:26:34 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0001006944,0.003222222
1,,6/29/2015 8:26:39 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0001024306,0.003277778
1,,6/29/2015 8:26:44 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001076389,0.003444444
1,,6/29/2015 8:26:49 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001128472,0.003611111
1,,6/29/2015 8:26:54 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001180556,0.003777778
1,,6/29/2015 8:26:59 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001232639,0.003944444
1,,6/29/2015 8:27:04 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0001267361,0.004055555
1,,6/29/2015 8:27:09 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0001284722,0.004111111
1,,6/29/2015 8:27:14 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001336806,0.004277778
1,,6/29/2015 8:27:19 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001388889,0.004444445
1,,6/29/2015 8:27:24 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001440972,0.004611111
1,,6/29/2015 8:27:29 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001493055,0.004777777
1,,6/29/2015 8:27:34 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001545139,0.004944444
1,,6/29/2015 8:27:39 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001597222,0.005111111
1,,6/29/2015 8:27:44 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001649305,0.005277778
1,,6/29/2015 8:27:49 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001701389,0.005444444
1,,6/29/2015 8:27:54 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001753472,0.005611111
1,,6/29/2015 8:27:59 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0001840278,0.005888889
1,,6/29/2015 8:28:04 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0001909722,0.006111111
1,,6/29/2015 8:28:09 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0001961806,0.006277778
1,,6/29/2015 8:28:14 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0002013889,0.006444444
1,,6/29/2015 8:28:19 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0002065972,0.006611111
1,,6/29/2015 8:28:24 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0002118056,0.006777778
1,,6/29/2015 8:28:29 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0002135417,0.006833333
1,,6/29/2015 8:28:34 AM,16,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.00021875,0.007
1,,6/29/2015 8:28:39 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0002256944,0.007222222
1,,6/29/2015 8:28:44 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0002326389,0.007444444
1,,6/29/2015 8:28:49 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0002395833,0.007666667
1,,6/29/2015 8:28:54 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.04,0.0002465278,0.007888889
1,,6/29/2015 8:28:59 AM,16,20.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0002517361,0.008055556
