File ID,3,,
Transmitter Address,2,,
Thermocouple Type,K,,
Start Time,"Sunday, June 14, 2015 9:35:27 AM",,
Interval (seconds),2,,
Number of Records,2242,,
Units (degrees),C,,
Battery Voltage,1.703,,
,,,
Date,Time,Process,Ambient
6/14/2015,9:35:27 AM,25,27.3
6/14/2015,9:35:29 AM,25,27.3
6/14/2015,9:35:31 AM,25,27.3
6/14/2015,9:35:33 AM,25,27.4
6/14/2015,9:35:35 AM,25,27.4
6/14/2015,9:35:37 AM,25,27.4
6/14/2015,9:35:39 AM,25,27.4
6/14/2015,9:35:41 AM,25,27.4
6/14/2015,9:35:43 AM,25,27.4
6/14/2015,9:35:45 AM,25,27.4
6/14/2015,9:35:47 AM,25,27.4
6/14/2015,9:35:49 AM,25,27.4
6/14/2015,9:35:51 AM,25,27.4
6/14/2015,9:35:53 AM,25,27.3
6/14/2015,9:35:55 AM,26,27.4
6/14/2015,9:35:57 AM,26,27.4
6/14/2015,9:35:59 AM,26,27.3
6/14/2015,9:36:01 AM,27,27.4
6/14/2015,9:36:03 AM,27,27.4
6/14/2015,9:36:05 AM,26,27.4
6/14/2015,9:36:07 AM,27,27.4
6/14/2015,9:36:09 AM,27,27.4
6/14/2015,9:36:11 AM,27,27.4
6/14/2015,9:36:13 AM,27,27.4
6/14/2015,9:36:15 AM,27,27.4
6/14/2015,9:36:17 AM,27,27.4
6/14/2015,9:36:19 AM,26,27.3
6/14/2015,9:36:21 AM,25,27.3
6/14/2015,9:36:23 AM,26,27.3
6/14/2015,9:36:25 AM,25,27.4
6/14/2015,9:36:27 AM,26,27.4
6/14/2015,9:36:29 AM,26,27.4
6/14/2015,9:36:31 AM,26,27.3
6/14/2015,9:36:33 AM,26,27.3
6/14/2015,9:36:35 AM,26,27.3
6/14/2015,9:36:37 AM,26,27.3
6/14/2015,9:36:39 AM,26,27.3
6/14/2015,9:36:41 AM,26,27.3
6/14/2015,9:36:43 AM,26,27.3
6/14/2015,9:36:45 AM,26,27.3
6/14/2015,9:36:47 AM,26,27.3
6/14/2015,9:36:49 AM,26,27.2
6/14/2015,9:36:51 AM,24,27.3
6/14/2015,9:36:53 AM,25,27.3
6/14/2015,9:36:55 AM,25,27.3
6/14/2015,9:36:57 AM,25,27.2
6/14/2015,9:36:59 AM,26,27.2
6/14/2015,9:37:01 AM,26,27.2
6/14/2015,9:37:03 AM,26,27.2
6/14/2015,9:37:05 AM,26,27.2
6/14/2015,9:37:07 AM,26,27.2
6/14/2015,9:37:09 AM,26,27.2
6/14/2015,9:37:11 AM,26,27.2
6/14/2015,9:37:13 AM,26,27.2
6/14/2015,9:37:15 AM,26,27.2
6/14/2015,9:37:17 AM,26,27.2
6/14/2015,9:37:19 AM,26,27.2
6/14/2015,9:37:21 AM,26,27.2
6/14/2015,9:37:23 AM,26,27.2
6/14/2015,9:37:25 AM,26,27.2
6/14/2015,9:37:27 AM,26,27.2
6/14/2015,9:37:29 AM,25,27.2
6/14/2015,9:37:31 AM,25,27.1
6/14/2015,9:37:33 AM,25,27.1
6/14/2015,9:37:35 AM,25,27.1
6/14/2015,9:37:37 AM,25,27.1
6/14/2015,9:37:39 AM,25,27.1
6/14/2015,9:37:41 AM,25,27.1
6/14/2015,9:37:43 AM,25,27.1
6/14/2015,9:37:45 AM,25,27.1
6/14/2015,9:37:47 AM,25,27.1
6/14/2015,9:37:49 AM,25,27
6/14/2015,9:37:51 AM,25,27
6/14/2015,9:37:53 AM,25,27
6/14/2015,9:37:55 AM,26,27
6/14/2015,9:37:57 AM,26,27
6/14/2015,9:37:59 AM,26,27
6/14/2015,9:38:01 AM,26,27
6/14/2015,9:38:03 AM,26,27
6/14/2015,9:38:05 AM,26,27
6/14/2015,9:38:07 AM,26,27
6/14/2015,9:38:09 AM,26,27
6/14/2015,9:38:11 AM,25,27
6/14/2015,9:38:13 AM,25,26.9
6/14/2015,9:38:15 AM,25,27
6/14/2015,9:38:17 AM,25,27
6/14/2015,9:38:19 AM,25,27
6/14/2015,9:38:21 AM,25,27
6/14/2015,9:38:23 AM,25,26.9
6/14/2015,9:38:25 AM,25,26.9
6/14/2015,9:38:27 AM,25,26.9
6/14/2015,9:38:29 AM,25,26.9
6/14/2015,9:38:31 AM,25,26.9
6/14/2015,9:38:33 AM,25,26.9
6/14/2015,9:38:35 AM,25,26.9
6/14/2015,9:38:37 AM,25,26.9
6/14/2015,9:38:39 AM,25,26.9
6/14/2015,9:38:41 AM,25,26.9
6/14/2015,9:38:43 AM,25,26.9
6/14/2015,9:38:45 AM,25,26.9
6/14/2015,9:38:47 AM,25,26.8
6/14/2015,9:38:49 AM,25,26.8
6/14/2015,9:38:51 AM,25,26.8
6/14/2015,9:38:53 AM,25,26.8
6/14/2015,9:38:55 AM,25,26.8
6/14/2015,9:38:57 AM,25,26.8
6/14/2015,9:38:59 AM,25,26.8
6/14/2015,9:39:01 AM,25,26.8
6/14/2015,9:39:03 AM,26,26.8
6/14/2015,9:39:05 AM,26,26.8
6/14/2015,9:39:07 AM,26,26.8
6/14/2015,9:39:09 AM,25,26.7
6/14/2015,9:39:11 AM,26,26.7
6/14/2015,9:39:13 AM,26,26.8
6/14/2015,9:39:15 AM,26,26.8
6/14/2015,9:39:17 AM,26,26.8
6/14/2015,9:39:19 AM,26,26.8
6/14/2015,9:39:21 AM,26,26.8
6/14/2015,9:39:23 AM,25,26.7
6/14/2015,9:39:25 AM,25,26.7
6/14/2015,9:39:27 AM,26,26.7
6/14/2015,9:39:29 AM,25,26.7
6/14/2015,9:39:31 AM,25,26.7
6/14/2015,9:39:33 AM,25,26.7
6/14/2015,9:39:35 AM,25,26.7
6/14/2015,9:39:37 AM,25,26.7
6/14/2015,9:39:39 AM,25,26.7
6/14/2015,9:39:41 AM,25,26.7
6/14/2015,9:39:43 AM,26,26.7
6/14/2015,9:39:45 AM,26,26.7
6/14/2015,9:39:47 AM,26,26.7
6/14/2015,9:39:49 AM,26,26.7
6/14/2015,9:39:51 AM,25,26.7
6/14/2015,9:39:53 AM,25,26.6
6/14/2015,9:39:55 AM,24,26.6
6/14/2015,9:39:57 AM,26,26.7
6/14/2015,9:39:59 AM,25,26.6
6/14/2015,9:40:01 AM,25,26.6
6/14/2015,9:40:03 AM,25,26.6
6/14/2015,9:40:05 AM,25,26.6
6/14/2015,9:40:07 AM,21,26.6
6/14/2015,9:40:09 AM,24,26.6
6/14/2015,9:40:11 AM,24,26.6
6/14/2015,9:40:13 AM,25,26.6
6/14/2015,9:40:15 AM,26,26.6
6/14/2015,9:40:17 AM,26,26.6
6/14/2015,9:40:19 AM,26,26.6
6/14/2015,9:40:21 AM,26,26.6
6/14/2015,9:40:23 AM,26,26.5
6/14/2015,9:40:25 AM,26,26.5
6/14/2015,9:40:27 AM,25,26.5
6/14/2015,9:40:29 AM,25,26.5
6/14/2015,9:40:31 AM,25,26.5
6/14/2015,9:40:33 AM,25,26.5
6/14/2015,9:40:35 AM,25,26.5
6/14/2015,9:40:37 AM,25,26.5
6/14/2015,9:40:39 AM,25,26.5
6/14/2015,9:40:41 AM,25,26.5
6/14/2015,9:40:43 AM,25,26.5
6/14/2015,9:40:45 AM,25,26.5
6/14/2015,9:40:47 AM,25,26.5
6/14/2015,9:40:49 AM,25,26.5
6/14/2015,9:40:51 AM,25,26.5
6/14/2015,9:40:53 AM,25,26.5
6/14/2015,9:40:55 AM,25,26.5
6/14/2015,9:40:57 AM,25,26.5
6/14/2015,9:40:59 AM,25,26.4
6/14/2015,9:41:01 AM,25,26.4
6/14/2015,9:41:03 AM,25,26.4
6/14/2015,9:41:05 AM,25,26.4
6/14/2015,9:41:07 AM,25,26.4
6/14/2015,9:41:09 AM,25,26.4
6/14/2015,9:41:11 AM,25,26.4
6/14/2015,9:41:13 AM,25,26.4
6/14/2015,9:41:15 AM,25,26.4
6/14/2015,9:41:17 AM,25,26.4
6/14/2015,9:41:19 AM,25,26.4
6/14/2015,9:41:21 AM,25,26.4
6/14/2015,9:41:23 AM,25,26.4
6/14/2015,9:41:25 AM,25,26.4
6/14/2015,9:41:27 AM,25,26.4
6/14/2015,9:41:29 AM,25,26.3
6/14/2015,9:41:31 AM,25,26.3
6/14/2015,9:41:33 AM,25,26.3
6/14/2015,9:41:35 AM,25,26.3
6/14/2015,9:41:37 AM,25,26.3
6/14/2015,9:41:39 AM,23,26.3
6/14/2015,9:41:41 AM,25,26.3
6/14/2015,9:41:43 AM,25,26.3
6/14/2015,9:41:45 AM,24,26.3
6/14/2015,9:41:47 AM,25,26.3
6/14/2015,9:41:49 AM,25,26.3
6/14/2015,9:41:51 AM,25,26.3
6/14/2015,9:41:53 AM,25,26.3
6/14/2015,9:41:55 AM,24,26.3
6/14/2015,9:41:57 AM,25,26.3
6/14/2015,9:41:59 AM,22,26.3
6/14/2015,9:42:01 AM,25,26.2
6/14/2015,9:42:03 AM,24,26.3
6/14/2015,9:42:05 AM,23,26.3
6/14/2015,9:42:07 AM,26,26.3
6/14/2015,9:42:09 AM,24,26.2
6/14/2015,9:42:11 AM,26,26.3
6/14/2015,9:42:13 AM,24,26.3
6/14/2015,9:42:15 AM,25,26.3
6/14/2015,9:42:17 AM,25,26.3
6/14/2015,9:42:19 AM,25,26.3
6/14/2015,9:42:21 AM,22,26.3
6/14/2015,9:42:23 AM,24,26.3
6/14/2015,9:42:25 AM,26,26.2
6/14/2015,9:42:27 AM,26,26.2
6/14/2015,9:42:29 AM,26,26.2
6/14/2015,9:42:31 AM,23,26.2
6/14/2015,9:42:33 AM,25,26.2
6/14/2015,9:42:35 AM,25,26.2
6/14/2015,9:42:37 AM,25,26.2
6/14/2015,9:42:39 AM,23,26.2
6/14/2015,9:42:41 AM,24,26.2
6/14/2015,9:42:43 AM,25,26.2
6/14/2015,9:42:45 AM,25,26.2
6/14/2015,9:42:47 AM,25,26.2
6/14/2015,9:42:49 AM,25,26.2
6/14/2015,9:42:51 AM,25,26.2
6/14/2015,9:42:53 AM,21,26.2
6/14/2015,9:42:55 AM,25,26.2
6/14/2015,9:42:57 AM,23,26.2
6/14/2015,9:42:59 AM,24,26.1
6/14/2015,9:43:01 AM,24,26.1
6/14/2015,9:43:03 AM,24,26.1
6/14/2015,9:43:05 AM,24,26.1
6/14/2015,9:43:07 AM,24,26.1
6/14/2015,9:43:09 AM,25,26.1
6/14/2015,9:43:11 AM,25,26.1
6/14/2015,9:43:13 AM,25,26.1
6/14/2015,9:43:15 AM,24,26.1
6/14/2015,9:43:17 AM,25,26.1
6/14/2015,9:43:19 AM,22,26.1
6/14/2015,9:43:21 AM,23,26.1
6/14/2015,9:43:23 AM,24,26.1
6/14/2015,9:43:25 AM,21,26.1
6/14/2015,9:43:27 AM,25,26.1
6/14/2015,9:43:29 AM,25,26.1
6/14/2015,9:43:31 AM,24,26.1
6/14/2015,9:43:33 AM,24,26.1
6/14/2015,9:43:35 AM,23,26.1
6/14/2015,9:43:37 AM,25,26.1
6/14/2015,9:43:39 AM,25,26.1
6/14/2015,9:43:41 AM,25,26.1
6/14/2015,9:43:43 AM,25,26.1
6/14/2015,9:43:45 AM,24,26.1
6/14/2015,9:43:47 AM,24,26.1
6/14/2015,9:43:49 AM,22,26.1
6/14/2015,9:43:51 AM,24,26.1
6/14/2015,9:43:53 AM,25,26.1
6/14/2015,9:43:55 AM,25,26.1
6/14/2015,9:43:57 AM,25,26.1
6/14/2015,9:43:59 AM,25,26
6/14/2015,9:44:01 AM,21,26
6/14/2015,9:44:03 AM,25,26
6/14/2015,9:44:05 AM,24,26
6/14/2015,9:44:07 AM,24,26
6/14/2015,9:44:09 AM,24,26
6/14/2015,9:44:11 AM,24,26.1
6/14/2015,9:44:13 AM,21,26
6/14/2015,9:44:15 AM,24,26
6/14/2015,9:44:17 AM,24,26
6/14/2015,9:44:19 AM,25,26
6/14/2015,9:44:21 AM,25,26
6/14/2015,9:44:23 AM,22,26
6/14/2015,9:44:25 AM,22,26
6/14/2015,9:44:27 AM,26,26
6/14/2015,9:44:29 AM,26,26
6/14/2015,9:44:31 AM,24,26
6/14/2015,9:44:33 AM,25,26
6/14/2015,9:44:35 AM,25,26
6/14/2015,9:44:37 AM,24,26
6/14/2015,9:44:39 AM,25,26
6/14/2015,9:44:41 AM,21,26
6/14/2015,9:44:43 AM,25,26
6/14/2015,9:44:45 AM,26,26
6/14/2015,9:44:47 AM,26,26
6/14/2015,9:44:49 AM,23,26
6/14/2015,9:44:51 AM,25,26
6/14/2015,9:44:53 AM,25,26
6/14/2015,9:44:55 AM,25,26
