Time,Event,
2015-06-16-09:22:22,Ignition BR6,
2015-06-16-09:24:22,Ignition BR5,
2015-06-16-09:26:52,FD Dispatch,
2015-06-16-09:28:53,Water in Window,
2015-06-16-09:29:09,Water in BR 5 Window 4 Seconds,
2015-06-16-09:30:39,Front Door Open,
2015-06-16-09:30:58,Nozzle FF Reaches Hallway,
2015-06-16-09:31:08,BR 5 & BR 6 Window Open/Cleared,
2015-06-16-09:31:10,BR 5 Rear Window Open,
2015-06-16-09:32:33,Victim 1 Out,
2015-06-16-09:35:43,Victim 2 Out,
2015-06-16-09:40:27,Living Room Right Window Open,
2015-06-16-09:40:30,Living Room Left Window Open,
2015-06-16-09:43:07,BR 3 Exterior Door Open,
2015-06-16-09:43:00,BR 4 Exterior Door Open,
2015-06-16-09:56:39,End of Experiment,
