Experiment,Ignition Time,FD Dispatch,Command Transfer,OH Enter,OH Exit
1,0:06:23,0:10:53,0:24:40,0:26:21,0:42:05
2,00:06:14,00:10:44,00:23:09,00:23:34,00:42:59
3,00:07:00,00:11:30,00:23:57,00:25:57,00:40:47
4,00:07:01,00:11:31,00:23:36,00:24:46,00:43:01
5,00:16:01,00:21:01,00:33:53,00:34:28,00:52:53
6,00:09:00,00:13:30,00:25:47,00:26:06,00:44:01
7,00:11:01,00:15:31,00:28:25,00:28:57,00:44:16
8,00:07:00,00:11:00,00:24:20,00:24:25,00:42:23
9,00:12:00,00:16:15,00:27:23,00:27:00,00:45:10
10,00:05:10,00:09:40,00:19:56,00:20:07,00:37:12
11,00:10:00,00:14:30,00:25:52,00:26:17,00:41:26
12,00:08:00,00:12:30,00:23:57,00:24:25,00:39:33
