Experiment,Attack FF Enters,Attack FF Exits,Search FF Enters,Search FF Exits,,,,,,,,
1,16,621,34,606,,,,,,,,
2,2,555,30,555,,,,,,,,
3,2,520,14,515,,,,,,,,
4,4,588,14,588,,,,,,,,
5,6,606,56,543,,,,,,,,
6,2,519,7,550,,,,,,,,
7,5,591,77,591,,,,,,,,
8,29,640,33,640,,,,,,,,
9,3,512,33,465,,,,,,,,
10,2,431,12,409,,,,,,,,
11,4,403,13,473,,,,,,,,
12,2,502,10,504,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
