Event,Experiment_01,Experiment_02,Experiment_03,Experiment_04,Experiment_05,Experiment_06,Experiment_07,Experiment_08,Experiment_09,Experiment_10,Experiment_11,Experiment_12
Dispatch,0,0,0,0,0,0,0,0,0,0,0,0
Door Pop,206,185,228,167,164,216,179,158,154,179,205,184
Enter,277,190,241,182,219,240,252,191,187,198,215,195
Victim 1 Found,323,257,286,207,252,261,291,225,208,248,249,224
Victim 1 Out,416,343,340,233,297,314,321,284,231,268,296,266
Re-Enter,424,350,374,260,315,320,339,296,259,282,301,272
Far BR Door Open,,386,402,252,,338,383,334,,,321,281
Near BR Door Open,604,448,481,365,415,508,442,541,338,336,428,387
Victim 2 Found,622,541,487,375,425,512,456,550,342,340,433,391
Victim 2 Out,701,586,528,388,483,567,498,578,438,383,520,421
