Experiment,FD Dispatch,Water in Window,Water in BR,Front Door,Nozzle FF Reaches Hallway,Victim 1 Out,Victim 2 Out,FD Dispatch (Temp),Water in Window (Temp),Water in BR (Temp),Front Door (Temp),Nozzle FF Reaches Hallway (Temp),Victim 1 Out (Temp),Victim 2 Out (Temp)
Experiment_01,0.00137,0.00997,0.01908,0.05476,0.14865,0.28786,0.0,0.00213,0.00316,0.00334,0.0038,0.00446,0.00566,0.0
Experiment_02,0.0013,0.0,0.0,0.00231,0.00245,0.0035,0.00546,0.00255,0.0,0.0,0.00435,0.00454,0.00592,0.00832
Experiment_03,0.00242,0.01429,0.02996,0.72323,1.11369,3.24534,3.62842,0.00212,0.00307,0.00319,0.00392,0.00407,0.00485,0.00643
Experiment_04,0.00087,0.0,0.0,0.011,0.01828,0.02789,0.03129,0.00196,0.0,0.0,0.00297,0.00315,0.00348,0.00467
Experiment_05,0.0032,0.0,0.0,0.09235,0.17852,0.72792,1.02878,0.00294,0.0,0.0,0.00463,0.00491,0.00607,0.00879
Experiment_06,0.00111,0.00356,0.01055,0.14523,0.70993,0.40492,0.84353,0.00297,0.00427,0.0045,0.00537,0.00829,0.00647,0.00949
Experiment_07,0.00279,0.0,0.0,0.67642,0.96341,1.85855,2.07202,0.00183,0.0,0.0,0.00309,0.00322,0.00413,0.00542
Experiment_08,0.00099,0.04488,0.12433,0.20115,0.37604,0.57429,0.9041,0.00235,0.00351,0.00376,0.00394,0.00424,0.00519,0.00808
Experiment_09,0.00273,0.0,0.0,0.51155,0.78419,1.05875,1.33566,0.0023,0.0,0.0,0.00367,0.00393,0.00438,0.00621
Experiment_10,0.00122,0.02131,0.0909,0.33766,0.47798,0.68333,0.77086,0.00403,0.00583,0.00626,0.0069,0.00714,0.00818,0.0098
Experiment_11,0.00304,0.33096,0.71857,1.91693,3.53281,4.31817,4.49549,0.00316,0.00479,0.00514,0.00557,0.00593,0.00665,0.0093
Experiment_12,0.0012,0.0,0.0,0.60381,0.81193,0.89624,1.10969,No Sensor,0.0,0.0,No Sensor,No Sensor,No Sensor,No Sensor
