Experiment,FD Dispatch,Water in Window,2nd Water Application,Front Door,Nozzle FF Reaches Hallway,Victim 1 Out,Victim 2 Out,FD Dispatch (Temp),Water in Window (Temp),Water in BR (Temp),Front Door (Temp),Nozzle FF Reaches Hallway (Temp),Victim 1 Out (Temp),Victim 2 Out (Temp)
Experiment_01,0.00093,0.00252,0.00301,0.0048,0.00817,0.01118,0,0.20235,7.1001,7.7504,7.82226,7.89115,7.90873,0
Experiment_02,0.00134,0,0,0.03558,0.05125,0.21817,0.24124,0.00691,0,0,10.61915,11.95792,11.99235,11.99963
Experiment_03,-0.00047,0.0529,0.20991,3.80413,5.78888,11.12424,12.11338,0.11839,7.88011,8.79384,9.42871,9.59638,9.65241,9.66121
Experiment_04,0.00136,0,0,0.01381,0.0347,0.15444,0.26652,0.10606,0,0,29.02029,34.4175,35.39629,35.4097
Experiment_05,0.00133,0,0,1.08785,2.33666,5.31694,5.56825,0.01804,0,0,25.76993,31.40557,33.19375,33.21252
Experiment_06,0.0029,0.00602,0.01479,0.42345,1.33398,0.87753,1.55029,0.0037,7.187,8.80922,8.82895,8.84182,8.83621,8.84346
Experiment_07,0.00114,0,0,3.17532,4.92889,6.92869,7.08161,0.03698,0,0,9.96473,12.42893,12.48635,12.4937
Experiment_08,0.00258,0.1212,0.44254,0.85861,1.27191,1.76177,1.89359,0.5661,8.79494,9.08418,9.09562,9.10715,9.11649,9.12807
Experiment_09,0.00182,0,0,1.06785,2.04815,2.87872,3.29142,11.35242,0,0,35.12492,37.8795,39.01912,39.04233
Experiment_10,0.00309,0.06589,0.37058,1.15243,1.25211,1.31714,1.32798,0.00586,1.8556,1.90181,1.92153,1.92401,1.92864,1.93243
Experiment_11,0.0015,4.99115,9.68946,11.65791,12.15622,12.45535,12.59491,0.07052,19.37476,19.66692,19.69105,19.70535,19.7194,19.73077
Experiment_12,0.00292,0,0,1.61555,3.48123,4.37453,4.61081,0.02388,0,0,4.15852,7.198,7.93219,7.94414
