Experiment,0,Near Bedroom rate,Near Bedroom Temp rate,Far Bedroom rate,Far Bedroom Temp rate,Near Hall rate,Near Hall Temp rate,Far Hall rate,Far Hall Temp rate
Experiment_01,0.0,604.0,606.0,512.0,641.0,223.0,88.0,305.0,141.0
Experiment_02,0.0,553.0,552.0,521.0,483.0,275.0,193.0,34.0,170.0
Experiment_03,0.0,548.0,484.0,708.0,486.0,268.0,117.0,268.0,123.0
Experiment_04,0.0,370.0,571.0,483.0,322.0,194.0,131.0,205.0,129.0
Experiment_05,0.0,378.0,531.0,541.0,1282.0,235.0,70.0,220.0,161.0
Experiment_06,0.0,603.0,505.0,616.0,698.0,208.0,121.0,236.0,130.0
Experiment_07,0.0,543.0,466.0,524.0,477.0,188.0,568.0,200.0,172.0
Experiment_08,0.0,682.0,714.0,545.0,411.0,151.0,37.0,174.0,126.0
Experiment_09,0.0,558.0,540.0,789.0,747.0,171.0,-27.0,174.0,151.0
Experiment_10,0.0,420.0,512.0,241.0,660.0,156.0,94.0,189.0,146.0
Experiment_11,0.0,524.0,516.0,523.0,444.0,155.0,122.0,221.0,137.0
Experiment_12,0.0,459.0,475.0,391.0,356.0,196.0,222.0,188.0,182.0
